fixture	label	scope	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	baseline_deposits_ugnot	candidate_deposits_ugnot	baseline_refunds_ugnot	candidate_refunds_ugnot	storage_delta_ugnot	gas_fee_delta_ugnot	net_delta_ugnot	storage_delta_gnot	gas_fee_delta_gnot	net_delta_gnot
router_exact_in_swap_route_grc20_fee100_filetest.gno	ExactInSwapRoute(grc20) - fee:100	execution-segment-repricing	30733430	30832003	98573	9054	9060	6	59604	906000	906000	600	0	600	98.573	698.573	+0.000600	+0.000099	+0.000699
router_exact_in_swap_route_grc20_fee3000_filetest.gno	ExactInSwapRoute(grc20) - fee:3000	execution-segment-repricing	26211117	26296968	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_in_swap_route_grc20_fee500_filetest.gno	ExactInSwapRoute(grc20) - fee:500	execution-segment-repricing	26082006	26167857	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_out_single_swap_route_grc20_fee10000_filetest.gno	ExactOutSingleSwapRoute(grc20) - fee:10000	execution-segment-repricing	28732659	28818510	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_out_single_swap_route_grc20_fee100_filetest.gno	ExactOutSingleSwapRoute(grc20) - fee:100	execution-segment-repricing	33161433	33260006	98573	9054	9060	6	59604	906000	906000	600	0	600	98.573	698.573	+0.000600	+0.000099	+0.000699
router_exact_out_single_swap_route_grc20_fee3000_filetest.gno	ExactOutSingleSwapRoute(grc20) - fee:3000	execution-segment-repricing	28673012	28758863	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_out_single_swap_route_grc20_fee500_filetest.gno	ExactOutSingleSwapRoute(grc20) - fee:500	execution-segment-repricing	28568797	28654648	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_out_swap_route_grc20_fee10000_filetest.gno	ExactOutSwapRoute(grc20) - fee:10000	execution-segment-repricing	27994164	28080015	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_out_swap_route_grc20_fee100_filetest.gno	ExactOutSwapRoute(grc20) - fee:100	execution-segment-repricing	32440242	32538815	98573	9054	9060	6	59604	906000	906000	600	0	600	98.573	698.573	+0.000600	+0.000099	+0.000699
router_exact_out_swap_route_grc20_fee3000_filetest.gno	ExactOutSwapRoute(grc20) - fee:3000	execution-segment-repricing	27943169	28029020	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_out_swap_route_grc20_fee500_filetest.gno	ExactOutSwapRoute(grc20) - fee:500	execution-segment-repricing	27847606	27933457	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
