fixture	workload	assumed_refund_realms	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	deposit_gain_ugnot	refund_gain_ugnot	storage_gain_ugnot	gas_repricing_gain_ugnot	net_gain_ugnot	net_5pct_gas_margin_ugnot	net_fixed_fee_ugnot
router_exact_out_single_swap_route_grc20_fee3000_filetest.gno	ExactOutSingleSwapRoute(grc20) - fee:3000		28747177	28748173	996	9054	9054	0	0	0	0	0	-0.996	-0.996	-1.0458	0
router_exact_out_single_swap_route_grc20_fee500_filetest.gno	ExactOutSingleSwapRoute(grc20) - fee:500		28642962	28643463	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_out_swap_route_grc20_fee10000_filetest.gno	ExactOutSwapRoute(grc20) - fee:10000		28068329	28068830	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_out_swap_route_grc20_fee100_filetest.gno	ExactOutSwapRoute(grc20) - fee:100		32527129	32527630	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_out_swap_route_grc20_fee3000_filetest.gno	ExactOutSwapRoute(grc20) - fee:3000		28017334	28018330	996	9054	9054	0	0	0	0	0	-0.996	-0.996	-1.0458	0
router_exact_out_swap_route_grc20_fee500_filetest.gno	ExactOutSwapRoute(grc20) - fee:500		27921771	27922272	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_single_hop_route_filetest.gno	BuildSingleHopRoutePath		202459	204013	1554	0	0	0	0	0	0	0	-1.554	-1.554	-1.6317	0
router_swap_multi_hop_filetest.gno	MultiHop ExactIn (2 hops)		52640746	52641247	501	9061	9061	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_swap_multi_hop_filetest.gno	MultiHop ExactOut (2 hops)		73105182	73105182	0	76	76	0	0	0	0	0	0	0	0	0
router_swap_multi_hop_filetest.gno	MultiHop ExactIn (3 hops)		72264029	72264029	0	33	33	0	0	0	0	0	0	0	0	0
router_swap_multi_hop_filetest.gno	MultiHop ExactOut (3 hops)		110815944	110815944	0	0	0	0	0	0	0	0	0	0	0	0
router_swap_multi_hop_filetest.gno	MultiRoute ExactIn (50:50 split)		71586063	71586558	495	0	0	0	0	0	0	0	-0.495	-0.495	-0.51975	0
router_swap_multi_hop_filetest.gno	MultiRoute ExactOut (50:50 split)		96971305	96971305	0	4	4	0	0	0	0	0	0	0	0	0
staker_collect_reward_filetest.gno	CollectReward (only Internal Reward)		13997438	14176382	178944	11137	11137	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_collect_reward_filetest.gno	CollectReward 2nd (only Internal Reward)		13778831	13957775	178944	40	40	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_collect_reward_incentive_token_count_filetest.gno	staker CollectReward (1 external-incentive token)		13624670	13893086	268416	10026	10026	0	261564	0	0	0	-268.416	-268.416	-281.8368	0
staker_collect_reward_incentive_token_count_filetest.gno	staker CollectReward (2 external-incentive tokens)		20970488	21328376	357888	4069	4069	0	348752	0	0	0	-357.888	-357.888	-375.7824	0
staker_collect_reward_incentive_token_count_filetest.gno	staker CollectReward (3 external-incentive tokens)		28630586	29077946	447360	4502	4502	0	435940	0	0	0	-447.36	-447.36	-469.728	0
staker_collect_reward_incentive_token_count_filetest.gno	staker CollectReward (4 external-incentive tokens)		36478899	37015731	536832	5046	5046	0	523128	0	0	0	-536.832	-536.832	-563.6736	0
staker_collect_reward_position_growth_filetest.gno	storage growth: CollectReward 20 staked positions		15322698	15501642	178944	62	62	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_collect_reward_position_growth_filetest.gno	storage growth: CollectReward 40 staked positions		15785077	15964021	178944	0	0	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_collect_reward_position_growth_filetest.gno	storage growth: CollectReward 60 staked positions		15787567	15966511	178944	0	0	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_collect_reward_position_growth_filetest.gno	storage growth: CollectReward 80 staked positions		15918844	16097788	178944	0	0	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_collect_reward_position_growth_filetest.gno	storage growth: CollectReward 100 staked positions		15904575	16083519	178944	0	0	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_collect_reward_with_external_rewards_1_filetest.gno	CollectReward With External Rewards (1 incentives)		22021186	22289602	268416	14734	14734	0	261564	0	0	0	-268.416	-268.416	-281.8368	0
staker_collect_reward_with_external_rewards_1_filetest.gno	CollectReward With External Rewards 2nd (1 incentives)		21425192	21693608	268416	31	31	0	261564	0	0	0	-268.416	-268.416	-281.8368	0
